Location,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price,Car_Age,Brand,Model
Kolkata,35000,Diesel,Automatic,First,12.4,2698.0,179.5,5.0,11.5,12,Audi,A62.7
Coimbatore,55431,Petrol,Manual,Second,16.09,1598.0,103.5,5.0,6.98,8,Volkswagen,Vento1.6
Jaipur,83816,Petrol,Manual,Second,14.0,1061.0,64.0,5.0,1.85,13,Maruti,WagonR
Kochi,50075,Diesel,Manual,First,24.3,1248.0,88.5,5.0,8.63,4,Maruti,VitaraBrezza
Delhi,52000,Petrol,Manual,First,18.15,1198.0,82.0,5.0,4.85,5,Mahindra,KUV100
Pune,85000,Diesel,Automatic,First,11.74,2987.0,254.8,5.0,28.0,9,Mercedes-Benz,M-ClassML
Chennai,62000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,5.0,9,Volkswagen,PoloDiesel
Delhi,90000,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.25,14,Maruti,AltoLXi
Kochi,19698,Petrol,Manual,First,25.4,624.0,37.5,4.0,1.53,8,Tata,NanoLX
Coimbatore,22033,Diesel,Manual,First,25.32,1198.0,77.0,6.0,5.58,5,Mahindra,KUV100
Kochi,35487,Petrol,Manual,First,18.5,1197.0,82.9,5.0,4.74,8,Hyundai,i20Magna
Bangalore,46374,Petrol,Automatic,First,14.62,1999.0,149.92,5.0,8.85,8,Hyundai,Elantra2.0
Mumbai,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11,6,Toyota,CorollaAltis
Ahmedabad,58005,Diesel,Manual,Second,14.9,1991.0,112.2,5.0,4.25,14,Hyundai,ElantraCRDi
Bangalore,70704,Petrol,Manual,First,11.25,2694.0,163.7,7.0,10.95,10,Toyota,InnovaCrysta
Jaipur,75000,Diesel,Manual,First,24.4,1120.0,71.0,5.0,3.85,8,Hyundai,Xcent1.1
Jaipur,75800,Diesel,Manual,Second,16.55,2498.0,105.0,6.0,5.5,10,Mahindra,TharCRDe
Kochi,13648,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,21.43,7,Audi,A42.0
Delhi,52000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,4.25,8,Maruti,SwiftLDI
Kolkata,53000,Diesel,Manual,First,17.8,1248.0,75.0,5.0,3.3,8,Maruti,SwiftLdi
Delhi,65650,Diesel,Manual,First,28.4,1248.0,74.0,5.0,3.85,9,Maruti,SwiftVDI
Chennai,54000,Petrol,Manual,Third,18.9,1197.0,82.0,5.0,3.6,7,Hyundai,Grandi10
Kolkata,39000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,3.99,7,Volkswagen,Vento2013-2015
Kochi,16542,Petrol,Manual,First,25.17,799.0,53.3,5.0,3.3,5,Renault,KWIDRXT
Kolkata,32000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.07,12,Hyundai,i10Asta
Hyderabad,121812,Diesel,Automatic,First,13.29,1995.0,147.6,5.0,7.75,12,Nissan,X-TrailSLX
Hyderabad,39300,Petrol,Manual,First,18.2,998.0,67.1,5.0,2.25,12,Maruti,ZenEstilo
Mumbai,22000,Diesel,Manual,First,13.68,2393.0,147.8,8.0,16.5,5,Toyota,InnovaCrysta
Bangalore,72000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.75,12,Ford,FigoDiesel
Delhi,58000,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,26.7,7,Mercedes-Benz,NewC-Class
Pune,65000,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,10.0,11,Mercedes-Benz,NewC-Class
Chennai,178000,Diesel,Manual,First,25.0,1396.0,69.0,5.0,2.5,6,Tata,IndicaV2
Jaipur,65664,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,13.5,10,Audi,A42.0
Mumbai,63000,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,1.85,15,Honda,CityZX
Coimbatore,15369,Diesel,Automatic,First,18.236512961941532,1950.0,194.0,5.0,35.67,3,Mercedes-Benz,C-ClassProgressive
Pune,63000,Diesel,Manual,First,24.52,1248.0,88.5,7.0,8.15,6,Maruti,ErtigaSHVS
Mumbai,13000,Diesel,Manual,First,22.1,1396.0,88.7,5.0,10.5,4,Hyundai,Creta1.4
Mumbai,73000,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14.5,14,Porsche,Cayenne2009-2014
Mumbai,55729,Diesel,Manual,First,15.1,2179.0,140.0,7.0,9.65,7,Mahindra,XUV500W8
Kochi,45178,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,3.48,10,Hyundai,i10Sportz
Kochi,56066,Diesel,Manual,First,19.64,1461.0,108.5,5.0,6.92,7,Nissan,TerranoXV
Coimbatore,37300,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6.46,6,Honda,BrioVX
Delhi,56000,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,29.5,8,Audi,A62.0
Jaipur,111111,Diesel,Manual,First,17.8,1399.0,68.0,5.0,2.0,14,Ford,Fiesta1.4
Chennai,230000,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,4.5,16,Toyota,Innova2.0
Hyderabad,104000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,11.75,10,Toyota,Innova2.5
Hyderabad,87591,Petrol,Manual,First,18.236512961941532,1086.0,62.1,5.0,1.3,17,Hyundai,SantroXing
Jaipur,95100,Diesel,Manual,First,22.9,1248.0,74.0,5.0,3.75,10,Maruti,SwiftVDI
Pune,70000,Petrol,Manual,First,17.57,1193.0,88.7,5.0,4.5,5,Tata,ZestRevotron
Kochi,54944,Petrol,Manual,First,18.0,1198.0,86.7,5.0,4.82,6,Honda,AmazeSX
Hyderabad,70337,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.8,10,Ford,FigoDiesel
Jaipur,99638,Diesel,Manual,First,23.2,1248.0,73.94,5.0,3.11,9,Maruti,RitzVDi
Delhi,52000,Petrol,Manual,First,17.8,1497.0,117.3,5.0,3.25,13,Honda,Cityi
Delhi,75000,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,13.9,11,BMW,5Series
Pune,95980,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.25,13,Hyundai,i10Sportz
Bangalore,16000,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.75,6,Hyundai,Grandi10
Hyderabad,73745,Petrol,Manual,First,17.0,1086.0,62.1,5.0,2.1,15,Hyundai,SantroXing
Mumbai,18949,Petrol,Manual,First,17.8,1198.0,86.7,5.0,5.0,6,Honda,AmazeSX
Delhi,107000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,16.5,8,Toyota,Fortuner4x2
Coimbatore,48367,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,39.58,4,Audi,A62011-2015
Delhi,57000,Diesel,Manual,First,22.7,1498.0,89.84,5.0,5.5,9,Ford,Ecosport1.5
Delhi,58000,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8.1,8,Mahindra,XUV500W8
Kolkata,30000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,7,Honda,AmazeSX
Kolkata,34212,Diesel,Manual,First,22.07,1199.0,73.9,5.0,2.79,9,Volkswagen,PoloDiesel
Ahmedabad,70002,Diesel,Manual,First,16.2,1493.0,110.0,5.0,3.45,12,Hyundai,VernaTransform
Bangalore,62000,Petrol,Manual,First,18.9,998.0,67.1,5.0,4.45,6,Maruti,WagonR
Delhi,62001,Petrol,Manual,First,15.26,1598.0,103.5,5.0,2.65,12,Volkswagen,PoloPetrol
Pune,78958,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,3.8,11,Hyundai,i201.4
Mumbai,30180,Petrol,Manual,First,18.5,1197.0,82.85,5.0,4.65,8,Hyundai,i20Asta
Pune,32851,Petrol,Manual,First,19.83,1198.0,67.0,7.0,3.95,5,Datsun,GOPlus
Kolkata,30000,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,9.8,12,Audi,A43.0
Pune,66000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,2.7,13,Hyundai,i202015-2017
Coimbatore,93850,Petrol,Manual,First,14.0,796.0,35.0,5.0,2.41,12,Maruti,Omni5
Ahmedabad,53000,Petrol,Manual,First,17.71,1197.0,78.9,5.0,3.9,8,Toyota,EtiosLiva
Hyderabad,78000,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,24.0,11,Jaguar,XF3.0
Delhi,65000,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,5.75,10,Mahindra,XUV500W8
Kolkata,40000,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,5.25,8,Hyundai,Verna1.6
Mumbai,30000,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.25,5,Toyota,InnovaCrysta
Coimbatore,38053,Petrol,Manual,First,15.1,1196.0,73.0,5.0,3.91,5,Maruti,Eeco5
Bangalore,25500,Petrol,Manual,First,25.4,624.0,37.5,4.0,2.15,8,Tata,NanoTwist
Mumbai,56087,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,20.75,7,BMW,3Series
Delhi,71088,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.35,12,Honda,Civic2006-2010
Ahmedabad,55000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,11.11,8,Toyota,Innova2.5
Bangalore,32700,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,20.0,8,Volvo,V40Cross
Coimbatore,39882,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6.55,6,Nissan,MicraXV
Mumbai,128000,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,7.0,13,BMW,5Series
Mumbai,55000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,7.5,6,Maruti,VitaraBrezza
Mumbai,102000,Petrol,Manual,Second,17.0,1086.0,62.1,5.0,0.85,17,Hyundai,SantroXing
Pune,53753,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,16.75,8,Mercedes-Benz,BClass
Kolkata,10250,Diesel,Manual,First,22.0,1582.0,126.2,5.0,10.95,4,Hyundai,VernaCRDi
Pune,43874,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45,11,Maruti,WagonR
Coimbatore,32684,Petrol,Automatic,First,21.9,624.0,37.48,4.0,3.23,5,Tata,NanoXTA
Kolkata,42000,Diesel,Manual,First,12.05,2179.0,120.0,8.0,7.75,8,Mahindra,ScorpioVLX
Kolkata,28352,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,9.35,13,Mercedes-Benz,NewC-Class
Pune,89900,CNG,Manual,First,37.24,998.0,58.16,5.0,3.25,9,Maruti,WagonR
Bangalore,47700,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,5.25,15,Honda,CR-V2.4
Pune,55000,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7.25,7,Volkswagen,Vento1.5
Kochi,44285,Petrol,Manual,First,20.73,1373.0,91.1,5.0,7.47,5,Maruti,CiazVXi
Jaipur,54000,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,13.25,6,Mahindra,XUV500AT
Coimbatore,30232,Petrol,Manual,First,21.1,1197.0,85.8,5.0,5.81,6,Maruti,RitzVXI
Hyderabad,88500,Petrol,Manual,First,24.07,998.0,67.1,5.0,2.6,8,Maruti,AltoK10
Kolkata,13372,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,54.0,5,Mercedes-Benz,SLC43
Kochi,12645,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,11.5,3,Hyundai,VernaVTVT
Chennai,94385,Petrol,Manual,Second,19.7,796.0,46.3,5.0,1.6,12,Maruti,AltoLXi
Coimbatore,31821,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,17.22,7,BMW,1Series
Mumbai,12000,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,6.0,7,Honda,Jazz1.2
Delhi,88578,Petrol,Manual,First,13.5,1799.0,130.0,5.0,3.95,10,Honda,Civic2006-2010
Kochi,44965,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,17.95,8,Mercedes-Benz,NewC-Class
Kolkata,45044,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.7,8,Honda,AmazeSX
Kochi,34204,Petrol,Manual,First,22.0,1197.0,81.8,5.0,5.43,6,Maruti,SwiftVVT
Kochi,80759,Petrol,Manual,Third,17.0,1086.0,62.1,5.0,1.67,14,Hyundai,SantroXing
Coimbatore,91235,Diesel,Manual,First,11.5,2982.0,171.0,7.0,13.49,10,Toyota,Fortuner3.0
Pune,38800,Petrol,Manual,First,18.6,1199.0,76.8,5.0,2.85,8,Chevrolet,BeatLT
Chennai,83000,Diesel,Manual,First,21.14,1498.0,103.52,5.0,4.75,9,Skoda,Rapid1.5
Kochi,41283,Petrol,Manual,First,20.73,1373.0,91.1,5.0,9.9,4,Maruti,Ciaz1.4
Mumbai,23000,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,37.0,9,Audi,RS5Coupe
Mumbai,48000,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,26.5,8,BMW,3Series
Coimbatore,48214,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,23.32,7,Audi,A42.0
Chennai,35000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.25,6,Maruti,SwiftVDI
Kolkata,35277,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,30.0,12,Mercedes-Benz,SClass
Coimbatore,54620,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,9.86,6,Skoda,Rapid1.5
Pune,136997,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,8.5,10,Skoda,SuperbElegance
Kochi,14322,Petrol,Manual,First,21.1,814.0,55.2,5.0,4.23,3,Hyundai,EONMagna
Jaipur,65634,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.5,10,Volkswagen,PoloDiesel
Kolkata,6000,Petrol,Manual,First,20.63,1198.0,67.06,5.0,2.5,6,Datsun,GONXT
Kolkata,33280,Petrol,Manual,First,19.4,1198.0,86.8,5.0,2.39,9,Honda,BrioS
Delhi,29000,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.25,9,Mercedes-Benz,BClass
Kochi,42831,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7.11,7,Honda,Cityi
Ahmedabad,90000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,10.9,6,Toyota,Innova2.5
Ahmedabad,24005,Petrol,Manual,First,20.4,1197.0,81.8,5.0,6.2,5,Maruti,SwiftVXI
Mumbai,32792,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7.9,10,Mahindra,XUV500W8
Kochi,147898,Diesel,Manual,First,22.7,1498.0,89.84,5.0,4.42,8,Ford,Ecosport1.5
Mumbai,131765,Diesel,Manual,First,13.0,2982.0,168.5,7.0,13.5,10,Toyota,Fortuner4x2
Chennai,65000,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,6.25,9,Volkswagen,Vento1.5
Jaipur,66123,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,2.1,12,Ford,FigoDiesel
Mumbai,41000,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,45.0,7,BMW,X5xDrive
Coimbatore,23550,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,33.66,5,Mercedes-Benz,NewC-Class
Bangalore,45000,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,3.65,10,Honda,BrioV
Delhi,60000,Petrol,Manual,First,20.36,1197.0,78.9,5.0,2.75,9,Hyundai,i10Magna
Bangalore,44414,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,42.5,6,Mercedes-Benz,GLC220
Kolkata,1000,Petrol,Manual,First,18.9,1197.0,81.86,5.0,6.5,3,Hyundai,Grandi10
Mumbai,62500,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,19.0,10,Audi,A62011-2015
Mumbai,21000,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,4.45,9,Volkswagen,VentoPetrol
Jaipur,8525,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,23.0,5,Mini,CountrymanCooper
Bangalore,29000,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8.35,8,Hyundai,i20Asta
Mumbai,40000,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,22.95,8,Audi,A62011-2015
Jaipur,88000,Diesel,Manual,First,25.44,936.0,57.6,5.0,1.5,10,Chevrolet,BeatDiesel
Kochi,53537,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,6.89,10,Skoda,SuperbElegance
Chennai,216000,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,1.45,16,Ford,Fiesta1.4
Hyderabad,51000,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,33.5,8,BMW,5Series
Jaipur,118500,Petrol,Manual,First,12.9,1598.0,102.5,5.0,1.25,15,Chevrolet,OptraMagnum
Hyderabad,63000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,4.2,10,Volkswagen,PoloDiesel
Mumbai,25000,Diesel,Manual,First,19.98,1461.0,108.5,8.0,6.75,7,Renault,Lodgy110PS
Bangalore,37382,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,32.0,8,Mercedes-Benz,E-ClassE250
Kochi,24773,Petrol,Manual,First,21.4,1197.0,83.1,5.0,7.5,5,Maruti,BalenoAlpha
Delhi,62000,Diesel,Manual,First,22.32,1582.0,126.32,5.0,4.6,10,Hyundai,Verna1.6
Kochi,52340,Petrol,Manual,First,19.81,1086.0,68.05,5.0,4.04,5,Hyundai,i10Magna
Kochi,56739,Diesel,Manual,First,15.4,1997.0,120.0,7.0,10.31,6,Mahindra,Scorpio1.99
Coimbatore,36091,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,55.76,4,Land Rover,RoverRange
Chennai,120000,Diesel,Manual,First,20.0,1399.0,68.0,5.0,2.6,12,Ford,FigoDiesel
Mumbai,33000,Diesel,Manual,First,25.47,1248.0,88.5,7.0,8.5,6,Maruti,ErtigaZDI
Ahmedabad,60006,Petrol,Manual,First,18.236512961941532,1497.0,118.0,5.0,2.95,15,Honda,City1.5
Kolkata,52000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.5,8,Honda,AmazeS
Jaipur,43571,Petrol,Manual,First,20.36,1197.0,78.9,5.0,3.55,7,Hyundai,i10Magna
Kolkata,50000,Diesel,Manual,First,25.8,1498.0,98.6,5.0,3.25,9,Honda,AmazeS
Hyderabad,113000,Diesel,Manual,First,17.5,1896.0,106.0,5.0,4.5,14,Skoda,LauraAmbiente
Delhi,90000,Diesel,Manual,First,19.87,1461.0,83.8,5.0,5.35,8,Renault,Duster85PS
Chennai,29000,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,6.5,5,Mahindra,NuvoSportN6
Mumbai,20000,Diesel,Manual,First,24.3,1248.0,88.5,5.0,9.0,6,Maruti,VitaraBrezza
Kochi,61012,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.0,6,Hyundai,i20Asta
Jaipur,87459,Petrol,Manual,First,14.7,1390.0,85.0,5.0,2.75,13,Skoda,Fabia1.4
Pune,70500,Petrol,Manual,First,15.64,1193.0,64.1,5.0,1.5,12,Tata,IndigoeCS
Delhi,64103,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,19.9,7,Audi,Q32012-2015
Mumbai,76000,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,10.0,8,Skoda,OctaviaElegance
Delhi,104000,Diesel,Manual,First,23.59,1364.0,67.06,5.0,3.0,8,Toyota,EtiosLiva
Kolkata,42001,Petrol,Manual,First,16.1,1616.303290019353,112.3128981777716,5.0,2.11,12,Maruti,Swift1.3
Kochi,37245,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,11.96,8,Mercedes-Benz,BClass
Kolkata,45000,Diesel,Manual,First,27.4,1498.0,98.6,5.0,3.25,9,Honda,AmazeS
Jaipur,117837,Diesel,Manual,Second,22.32,1582.0,126.32,5.0,4.75,10,Hyundai,Verna1.6
Mumbai,30000,Diesel,Manual,First,20.46,1461.0,83.8,5.0,5.95,8,Renault,Duster85PS
Delhi,27057,Petrol,Manual,Second,15.29,1591.0,121.3,5.0,8.15,7,Hyundai,Creta1.6
Mumbai,8500,Petrol,Automatic,First,20.51,998.0,67.0,5.0,4.22,6,Maruti,WagonR
Kolkata,30500,Petrol,Automatic,First,11.74,1796.0,186.0,5.0,10.5,12,Mercedes-Benz,NewC-Class
Delhi,56000,Diesel,Automatic,First,11.8,2967.0,246.7,5.0,45.0,10,Audi,A8L
Pune,44000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0,2.9,10,Hyundai,i10Magna
Mumbai,10500,Petrol,Automatic,First,14.3,1598.0,103.52,5.0,8.9,5,Skoda,Rapid1.6
Hyderabad,26000,Petrol,Automatic,First,14.67,1798.0,177.46,5.0,26.0,5,Skoda,SuperbStyle
Coimbatore,25166,Petrol,Manual,First,17.19,1197.0,81.86,5.0,8.22,4,Hyundai,i20Active
Kolkata,64000,Diesel,Manual,Second,25.8,1498.0,98.6,5.0,3.5,8,Honda,AmazeVX
Chennai,61000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.25,18,Maruti,WagonR
Hyderabad,107000,Diesel,Manual,First,21.03,1461.0,65.0,5.0,3.7,9,Mahindra,Verito1.5
Coimbatore,29161,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,39.41,4,Mercedes-Benz,NewC-Class
Kolkata,32000,Petrol,Manual,First,22.5,998.0,67.04,5.0,2.65,9,Maruti,WagonR
Coimbatore,46173,Diesel,Manual,Second,19.01,1461.0,108.5,5.0,8.92,7,Nissan,TerranoXV
Delhi,47000,Diesel,Manual,First,17.8,1248.0,74.0,5.0,4.1,9,Maruti,SwiftVDI
Kochi,26327,Petrol,Automatic,First,16.82,1998.0,189.08,4.0,35.67,5,Mini,CooperConvertible
Bangalore,70436,Diesel,Manual,First,18.236512961941532,1498.0,99.0,5.0,3.6,7,Ford,FigoDiesel
Jaipur,200000,Diesel,Manual,Second,17.2,1396.0,53.5,5.0,0.85,15,Tata,IndicaV2
Kochi,60813,Petrol,Manual,Second,18.6,1199.0,76.8,5.0,3.32,6,Chevrolet,BeatLT
Mumbai,45000,Diesel,Manual,First,22.07,1199.0,73.9,5.0,3.6,10,Volkswagen,PoloDiesel
Hyderabad,64000,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6.8,6,Maruti,SwiftZDi
Kolkata,41284,Diesel,Manual,First,20.0,1399.0,68.05,5.0,2.5,10,Ford,FigoDiesel
Kochi,14165,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,19.64,3,Toyota,InnovaCrysta
Mumbai,67000,Diesel,Automatic,Second,11.72,2199.0,194.3,7.0,7.0,11,Hyundai,SantaFe
Kolkata,32572,Petrol,Manual,First,17.4,1497.0,117.3,5.0,3.87,11,Honda,Cityi-VTEC
Kochi,14960,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6.27,4,Hyundai,i201.2
Kochi,55980,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,18.12,7,Mercedes-Benz,NewC-Class
Mumbai,74000,Diesel,Manual,First,25.44,936.0,57.6,5.0,2.65,9,Chevrolet,BeatDiesel
Kochi,56847,Diesel,Manual,First,22.54,1396.0,88.73,5.0,7.2,7,Hyundai,i20Sportz
Coimbatore,121374,Diesel,Manual,First,12.99,2494.0,100.6,7.0,14.3,7,Toyota,Innova2.5
Chennai,52000,Diesel,Manual,First,20.77,1248.0,88.76,7.0,6.9,9,Maruti,ErtigaVDI
Mumbai,118000,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10.75,8,Toyota,Innova2.5
Mumbai,72000,Petrol,Manual,Third,17.0,1086.0,62.1,5.0,0.95,15,Hyundai,SantroXing
Kochi,33915,Petrol,Manual,First,17.8,1497.0,117.3,5.0,8.09,6,Honda,Cityi
Ahmedabad,82002,Diesel,Automatic,First,17.05,1995.0,184.0,5.0,18.5,8,BMW,X1sDrive20d
