age,gender,race,driving_experience,education,income,credit_score,vehicle_ownership,vehicle_year,married,children,annual_mileage,vehicle_type,speeding_violations,DUIs,past_accidents,outcome
16-25,male,majority,0-9y,university,working class,0.4055600158887265,True,before 2015,False,False,17000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,university,middle class,0.6235462115803201,True,before 2015,True,False,11000.0,sedan,0,0,0,False
65+,male,majority,10-19y,university,upper class,0.7270329897821235,True,before 2015,True,True,10000.0,sedan,1,1,2,False
65+,male,majority,20-29y,none,working class,0.426828388879915,True,before 2015,True,False,14000.0,sedan,3,1,7,False
26-39,female,majority,10-19y,none,middle class,0.5036589704487734,True,before 2015,False,True,10000.0,sedan,1,2,0,False
26-39,female,majority,10-19y,high school,middle class,0.5236585383213973,False,before 2015,False,False,12000.0,sedan,2,0,0,False
65+,male,majority,30y+,university,upper class,0.7264400018455291,True,after 2015,True,True,7000.0,sedan,2,0,3,False
16-25,female,majority,0-9y,none,poverty,0.2444900931240796,False,before 2015,False,True,11697.003206900365,sedan,0,0,0,True
16-25,male,majority,0-9y,university,middle class,0.5757707974509628,True,before 2015,False,False,11000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,high school,poverty,0.34833133094379204,False,before 2015,False,False,10000.0,sports car,0,0,0,True
16-25,male,majority,0-9y,university,working class,0.468671965728324,True,after 2015,False,True,9000.0,sedan,0,0,0,True
65+,male,majority,20-29y,university,upper class,0.6970834558464781,False,after 2015,False,True,13000.0,sedan,3,0,2,False
40-64,female,majority,20-29y,high school,working class,0.5429181079423034,True,before 2015,False,False,15000.0,sedan,1,1,0,False
65+,male,majority,30y+,high school,upper class,0.6722562535141292,True,before 2015,True,True,9000.0,sedan,4,1,2,False
16-25,male,majority,0-9y,none,poverty,0.3864066185703315,False,before 2015,False,False,8000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,university,middle class,0.5512978330713669,True,before 2015,True,True,12000.0,sedan,0,0,0,True
40-64,male,majority,20-29y,high school,middle class,0.5985570254244251,False,after 2015,True,False,14000.0,sedan,4,1,4,False
26-39,female,majority,10-19y,none,working class,0.43192928411686055,False,before 2015,True,True,11697.003206900365,sedan,0,0,1,False
40-64,female,majority,20-29y,high school,upper class,0.5824219946087406,True,after 2015,True,True,11000.0,sedan,2,0,1,False
26-39,female,minority,10-19y,high school,middle class,0.540182723180248,True,before 2015,True,True,11697.003206900365,sedan,0,0,1,False
65+,male,majority,20-29y,university,upper class,0.6330139475122963,True,after 2015,False,True,14000.0,sedan,3,1,4,False
40-64,male,majority,20-29y,high school,middle class,0.552204630296896,True,after 2015,True,False,12000.0,sedan,6,0,3,False
26-39,female,majority,0-9y,university,middle class,0.3266816101781183,False,before 2015,False,False,16000.0,sedan,0,0,0,True
40-64,male,minority,20-29y,high school,middle class,0.5880825424047316,True,before 2015,True,True,13000.0,sedan,7,1,1,False
65+,female,majority,0-9y,university,upper class,0.7022748020975709,False,before 2015,True,True,10000.0,sedan,0,0,0,True
65+,female,majority,0-9y,university,upper class,0.7266055391975765,True,before 2015,False,True,13000.0,sedan,0,0,0,False
26-39,male,majority,10-19y,university,working class,0.43192928411686055,False,before 2015,True,True,12000.0,sedan,3,2,3,True
65+,male,majority,30y+,university,upper class,0.73238212135242,True,before 2015,True,True,12000.0,sedan,5,1,5,False
16-25,female,majority,0-9y,none,poverty,0.2012839211827758,True,before 2015,False,False,12000.0,sedan,0,0,0,True
26-39,male,majority,10-19y,university,middle class,0.4641607076311848,False,before 2015,False,False,16000.0,sedan,0,1,0,False
40-64,female,majority,20-29y,university,upper class,0.6579677428053038,True,after 2015,True,False,13000.0,sedan,1,0,1,False
65+,male,majority,30y+,university,upper class,0.6002161554309658,True,before 2015,True,True,13000.0,sedan,5,2,4,False
65+,male,majority,30y+,university,upper class,0.6663760181644964,True,after 2015,True,True,12000.0,sedan,3,0,7,False
26-39,male,majority,0-9y,high school,working class,0.4031472802313768,True,before 2015,True,True,10000.0,sedan,0,0,0,False
65+,male,majority,20-29y,university,upper class,0.4169350441301069,True,before 2015,False,True,13000.0,sedan,5,1,5,False
65+,female,majority,30y+,none,upper class,0.5948797136778915,True,before 2015,True,True,8000.0,sports car,10,0,1,False
26-39,male,minority,10-19y,none,poverty,0.3804265034620669,False,before 2015,True,True,16000.0,sedan,1,0,1,False
16-25,female,majority,0-9y,none,poverty,0.34833133094379204,False,before 2015,False,False,14000.0,sedan,0,0,0,True
65+,female,majority,30y+,university,upper class,0.680617632406099,True,before 2015,True,True,12000.0,sedan,1,2,2,False
40-64,male,minority,0-9y,high school,working class,0.3559504699938693,True,before 2015,False,True,16000.0,sedan,0,0,0,True
40-64,female,majority,10-19y,none,middle class,0.5236585383213973,True,before 2015,False,True,10000.0,sedan,2,0,0,False
65+,female,minority,30y+,high school,upper class,0.587831426389767,True,after 2015,True,False,11697.003206900365,sports car,3,0,1,False
65+,female,majority,10-19y,university,upper class,0.5733880426029547,True,after 2015,True,True,10000.0,sedan,0,0,2,False
16-25,male,majority,0-9y,university,middle class,0.2964062828237805,True,before 2015,False,False,13000.0,sedan,0,0,0,True
65+,male,majority,10-19y,university,upper class,0.4295096986208441,True,before 2015,True,True,10000.0,sedan,1,0,4,False
65+,female,majority,30y+,university,upper class,0.6885687186194461,True,after 2015,False,True,11000.0,sedan,2,0,0,False
65+,female,majority,20-29y,university,upper class,0.700017431968704,True,after 2015,False,True,13000.0,sedan,1,0,1,False
26-39,male,majority,10-19y,university,working class,0.4495886310379405,False,before 2015,False,True,11697.003206900365,sports car,0,0,1,True
40-64,female,majority,20-29y,university,upper class,0.6900455818778344,True,after 2015,True,False,11000.0,sedan,2,1,1,False
40-64,female,minority,10-19y,university,working class,0.4960298730510012,True,after 2015,False,False,13000.0,sedan,0,0,1,False
26-39,male,majority,10-19y,university,upper class,0.6563457625165399,False,after 2015,True,True,6000.0,sedan,8,0,0,False
40-64,male,majority,0-9y,high school,middle class,0.4983566259941653,True,after 2015,False,True,12000.0,sedan,0,0,0,False
16-25,female,majority,0-9y,university,middle class,0.5463825431033477,True,before 2015,True,True,12000.0,sedan,0,0,0,False
40-64,female,majority,10-19y,high school,working class,0.3158628767091658,True,before 2015,False,True,11000.0,sedan,0,0,1,False
26-39,male,majority,10-19y,none,working class,0.5300643171181573,True,before 2015,False,False,11697.003206900365,sedan,1,0,2,True
26-39,female,majority,10-19y,high school,working class,0.3578391720711443,True,before 2015,False,True,12000.0,sedan,1,0,0,True
65+,male,majority,10-19y,university,upper class,0.672756052841708,True,after 2015,True,True,9000.0,sedan,1,0,2,False
40-64,male,majority,20-29y,university,upper class,0.7419993760301162,True,after 2015,False,True,11697.003206900365,sedan,2,0,2,False
65+,female,majority,30y+,university,upper class,0.6226519789949738,True,after 2015,True,True,11000.0,sedan,1,0,0,False
16-25,female,majority,0-9y,high school,middle class,0.4801406677163008,False,after 2015,False,False,14000.0,sedan,0,0,0,True
65+,male,majority,30y+,university,upper class,0.6787954309829434,True,after 2015,True,True,11000.0,sedan,5,1,3,False
65+,male,majority,30y+,university,upper class,0.613826977680089,True,before 2015,True,True,10000.0,sedan,13,1,6,False
40-64,female,majority,20-29y,university,upper class,0.5152467080125883,True,after 2015,False,True,12000.0,sedan,2,0,1,False
26-39,male,majority,10-19y,none,working class,0.4899205986325767,True,before 2015,False,True,13000.0,sedan,3,0,1,False
65+,male,majority,30y+,high school,middle class,0.4219579486132668,True,before 2015,False,True,11000.0,sedan,4,0,6,False
40-64,male,majority,20-29y,university,upper class,0.5843548496662949,True,before 2015,False,False,11697.003206900365,sedan,1,0,2,False
16-25,male,majority,0-9y,none,poverty,0.34833133094379204,False,before 2015,False,False,9000.0,sedan,0,0,0,True
65+,female,majority,30y+,high school,upper class,0.5581569698935803,True,after 2015,False,True,14000.0,sedan,0,0,0,False
16-25,male,majority,0-9y,high school,poverty,0.19414954837432,False,before 2015,True,False,12000.0,sports car,0,0,0,True
16-25,male,majority,0-9y,high school,poverty,0.3004973303903779,False,before 2015,False,False,13000.0,sedan,0,0,0,True
40-64,female,majority,20-29y,university,upper class,0.6670906918498556,True,after 2015,True,True,7000.0,sedan,4,0,0,False
40-64,male,majority,0-9y,high school,upper class,0.6130724079074048,True,before 2015,True,False,11697.003206900365,sedan,0,0,0,True
40-64,male,majority,10-19y,university,upper class,0.613826977680089,True,after 2015,True,False,11000.0,sedan,3,0,2,False
26-39,male,minority,10-19y,high school,middle class,0.5952817629709132,True,before 2015,True,True,8000.0,sedan,1,0,1,False
26-39,male,majority,0-9y,none,poverty,0.3482357882933829,False,before 2015,True,True,7000.0,sedan,0,0,0,True
26-39,male,majority,10-19y,high school,working class,0.3566396714745861,True,after 2015,True,True,8000.0,sedan,3,0,1,False
26-39,female,majority,10-19y,none,working class,0.3486591269429803,False,before 2015,True,False,12000.0,sedan,0,0,0,True
40-64,male,majority,0-9y,high school,middle class,0.5594684860915574,True,before 2015,False,True,12000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,high school,poverty,0.514483730987584,False,before 2015,False,False,12000.0,sedan,0,0,0,True
40-64,female,majority,20-29y,university,upper class,0.5626384060668865,True,after 2015,False,True,13000.0,sedan,2,1,0,False
40-64,male,majority,20-29y,university,middle class,0.5717246252857962,True,before 2015,False,True,15000.0,sedan,2,2,1,False
65+,female,majority,30y+,university,upper class,0.6510078690171576,True,after 2015,True,True,12000.0,sedan,5,0,2,False
16-25,male,majority,0-9y,university,working class,0.3707348173567914,True,before 2015,False,False,12000.0,sedan,0,0,0,True
16-25,male,majority,0-9y,high school,poverty,0.3051450776813433,True,before 2015,False,False,14000.0,sedan,0,0,0,False
26-39,male,majority,10-19y,university,upper class,0.5744144216758436,True,before 2015,False,False,11697.003206900365,sedan,2,0,5,True
26-39,female,majority,10-19y,university,middle class,0.4500145680826032,True,before 2015,False,True,13000.0,sedan,1,0,1,False
26-39,male,majority,10-19y,university,upper class,0.6364490959261638,True,before 2015,True,True,11697.003206900365,sedan,0,1,4,False
65+,male,majority,30y+,university,upper class,0.4576717029360895,False,before 2015,True,True,11697.003206900365,sedan,4,0,8,False
26-39,female,minority,0-9y,high school,poverty,0.3357473732007096,False,before 2015,False,True,15000.0,sedan,0,0,0,True
26-39,female,majority,10-19y,none,poverty,0.3186947648911332,False,before 2015,False,True,11697.003206900365,sports car,1,2,0,False
26-39,male,majority,10-19y,university,upper class,0.5578403271955679,True,after 2015,True,True,10000.0,sedan,2,0,0,False
16-25,female,majority,0-9y,none,working class,0.1924274124285441,False,before 2015,False,True,11000.0,sedan,0,0,0,True
26-39,male,majority,10-19y,university,working class,0.3528243251354439,False,before 2015,True,True,11000.0,sports car,6,1,3,True
65+,female,majority,0-9y,university,upper class,0.647569234863379,False,after 2015,True,True,11000.0,sedan,0,0,0,True
16-25,female,majority,0-9y,high school,middle class,0.4572362634438549,True,after 2015,False,False,10000.0,sedan,0,0,0,False
26-39,male,majority,10-19y,none,middle class,0.5042469291759577,True,before 2015,False,True,13000.0,sedan,0,0,1,False
16-25,male,majority,0-9y,high school,poverty,0.3749625006784157,True,before 2015,False,True,15000.0,sedan,0,0,0,True
16-25,female,majority,0-9y,university,upper class,0.6603156212983624,True,before 2015,False,True,11000.0,sports car,0,0,0,False
40-64,female,majority,20-29y,high school,upper class,0.4169178873741152,True,before 2015,False,True,12000.0,sedan,3,0,0,False
26-39,female,majority,10-19y,high school,upper class,0.6350840347750659,True,before 2015,True,False,17000.0,sedan,0,1,0,False
26-39,male,majority,10-19y,high school,middle class,0.4049288507406456,True,before 2015,True,True,11000.0,sedan,2,0,0,False
40-64,female,majority,20-29y,high school,upper class,0.4956283926329951,False,after 2015,True,False,11000.0,sedan,2,0,0,False
16-25,male,majority,0-9y,none,poverty,0.3921778349659278,False,before 2015,True,False,11697.003206900365,sedan,0,0,0,True
40-64,female,majority,10-19y,high school,upper class,0.5149450496137513,True,after 2015,True,True,11000.0,sedan,0,0,2,False
65+,male,majority,30y+,university,upper class,0.5032225392796313,True,after 2015,True,True,9000.0,sedan,6,2,10,False
26-39,female,majority,10-19y,university,upper class,0.7140339031205747,True,before 2015,True,True,11000.0,sedan,0,0,0,True
26-39,male,majority,10-19y,high school,working class,0.3670512395145257,False,before 2015,True,False,14000.0,sedan,1,0,1,True
40-64,female,majority,20-29y,high school,middle class,0.5793929043624154,True,before 2015,False,False,13000.0,sedan,2,0,0,False
40-64,female,majority,20-29y,high school,middle class,0.5584702236402418,True,before 2015,False,True,10000.0,sedan,1,0,4,False
16-25,female,majority,0-9y,high school,working class,0.2919776582051944,False,before 2015,False,True,12000.0,sedan,0,0,0,True
40-64,female,majority,20-29y,high school,middle class,0.6615841421190086,True,before 2015,False,True,12000.0,sedan,5,0,0,False
16-25,female,majority,0-9y,none,poverty,0.3788290288330991,False,before 2015,False,False,17000.0,sedan,0,0,0,True
16-25,female,minority,0-9y,high school,poverty,0.3740705590179875,True,before 2015,False,False,15000.0,sedan,0,0,0,True
40-64,male,majority,20-29y,university,upper class,0.613826977680089,True,before 2015,False,False,13000.0,sedan,3,1,2,False
65+,male,majority,30y+,university,upper class,0.4593785751523136,True,before 2015,True,True,13000.0,sedan,1,0,5,False
40-64,male,majority,20-29y,university,middle class,0.5236585383213973,True,before 2015,False,False,15000.0,sedan,2,0,5,False
40-64,female,majority,0-9y,university,upper class,0.4654506837575693,True,after 2015,True,True,11000.0,sedan,0,0,0,False
16-25,male,minority,0-9y,high school,middle class,0.4086866980912735,True,before 2015,False,True,9000.0,sedan,0,0,0,True
65+,female,majority,20-29y,high school,upper class,0.5888021385021842,True,before 2015,True,True,11000.0,sedan,2,0,2,False
40-64,male,majority,20-29y,high school,upper class,0.61502467895473,True,before 2015,True,True,7000.0,sedan,3,1,0,False
65+,female,majority,30y+,high school,upper class,0.613826977680089,True,before 2015,True,True,8000.0,sedan,2,0,0,False
40-64,female,majority,20-29y,university,upper class,0.5464601140543317,True,after 2015,True,True,8000.0,sedan,1,0,1,False
26-39,female,minority,10-19y,none,working class,0.43192928411686055,True,before 2015,False,False,16000.0,sedan,1,0,1,False
