Location,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Car_Age,Brand,Model,Price_log,Kilometers_Driven_log
Pune,Diesel,Manual,Second,15.8,2148.0,170.0,5.0,11,Mercedes-Benz,NewC-Class,2.302585092994046,11.082142548877775
Chennai,Diesel,Manual,First,25.0,1396.0,69.0,5.0,6,Tata,IndicaV2,0.9162907318741551,12.089538829274222
Jaipur,Diesel,Automatic,First,16.55,1968.0,140.0,5.0,10,Audi,A42.0,2.6026896854443837,11.092306109090387
Mumbai,Petrol,Automatic,Second,16.4,1497.0,78.0,5.0,15,Honda,CityZX,0.6151856390902335,11.05089000537367
Coimbatore,Diesel,Automatic,First,18.23651296194153,1950.0,194.0,5.0,3,Mercedes-Benz,C-ClassProgressive,3.5743099993708003,9.640107772607312
Pune,Diesel,Manual,First,24.52,1248.0,88.5,7.0,6,Maruti,ErtigaSHVS,2.0980179272527715,11.05089000537367
Mumbai,Diesel,Manual,First,22.1,1396.0,88.7,5.0,4,Hyundai,Creta1.4,2.3513752571634776,9.472704636443673
Mumbai,Petrol,Automatic,First,8.5,4806.0,500.0,5.0,14,Porsche,Cayenne2009-2014,2.6741486494265287,11.198214720130528
Mumbai,Diesel,Manual,First,15.1,2179.0,140.0,7.0,7,Mahindra,XUV500W8,2.2669579153508947,10.928255936745675
Kochi,Petrol,Automatic,First,16.95,1197.0,78.9,5.0,10,Hyundai,i10Sportz,1.247032293786383,10.71836552166722
Kochi,Diesel,Manual,First,19.64,1461.0,108.5,5.0,7,Nissan,TerranoXV,1.9344157696295783,10.93428484717576
Coimbatore,Petrol,Automatic,Second,16.5,1198.0,86.8,5.0,6,Honda,BrioVX,1.8656293177945105,10.526748605631907
Delhi,Diesel,Automatic,Second,18.53,1968.0,187.74,5.0,8,Audi,A62.0,3.3843902633457743,10.933106969717286
Jaipur,Diesel,Manual,First,17.8,1399.0,68.0,5.0,14,Ford,Fiesta1.4,0.6931471805599453,11.618284980627555
Chennai,Petrol,Manual,Third,12.4,1998.0,132.0,8.0,16,Toyota,Innova2.0,1.5040773967762742,12.345834587905333
Hyderabad,Diesel,Manual,First,12.8,2494.0,102.0,7.0,10,Toyota,Innova2.5,2.463853240590168,11.55214617812351
Hyderabad,Petrol,Manual,First,18.23651296194153,1086.0,62.1,5.0,17,Hyundai,SantroXing,0.26236426446749106,11.380433531920369
Jaipur,Diesel,Manual,First,22.9,1248.0,74.0,5.0,10,Maruti,SwiftVDI,1.3217558399823195,11.462684248533481
Pune,Petrol,Manual,First,17.57,1193.0,88.7,5.0,5,Tata,ZestRevotron,1.5040773967762742,11.156250521031495
Kochi,Petrol,Manual,First,18.0,1198.0,86.7,5.0,6,Honda,AmazeSX,1.572773928062509,10.914069763697203
Hyderabad,Diesel,Manual,First,20.0,1399.0,68.0,5.0,10,Ford,FigoDiesel,1.0296194171811581,11.161053255132654
Jaipur,Diesel,Manual,First,23.2,1248.0,73.94,5.0,9,Maruti,RitzVDi,1.1346227261911428,11.50929889691453
Delhi,Petrol,Manual,First,17.8,1497.0,117.3,5.0,13,Honda,Cityi,1.1786549963416462,10.858998997563564
Delhi,Diesel,Automatic,Second,16.73,1995.0,218.0,5.0,11,BMW,5Series,2.631888840136646,11.225243392518447
Pune,Petrol,Manual,First,20.36,1197.0,78.9,5.0,13,Hyundai,i10Sportz,0.8109302162163288,11.471895115412236
Bangalore,Petrol,Manual,First,18.9,1197.0,82.0,5.0,6,Hyundai,Grandi10,1.749199854809259,9.680344001221918
Hyderabad,Petrol,Manual,First,17.0,1086.0,62.1,5.0,15,Hyundai,SantroXing,0.7419373447293773,11.208368475293602
Mumbai,Petrol,Manual,First,17.8,1198.0,86.7,5.0,6,Honda,AmazeSX,1.6094379124341003,9.849506438669614
Delhi,Diesel,Manual,First,13.0,2982.0,168.5,7.0,8,Toyota,Fortuner4x2,2.803360380906535,11.580584113444043
Coimbatore,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,4,Audi,A62011-2015,3.6783239401744194,10.78657304197918
Delhi,Diesel,Manual,First,22.7,1498.0,89.84,5.0,9,Ford,Ecosport1.5,1.7047480922384253,10.950806546816688
Delhi,Diesel,Manual,First,15.1,2179.0,140.0,7.0,8,Mahindra,XUV500W8,2.0918640616783932,10.968198289528557
Kolkata,Diesel,Manual,First,25.8,1498.0,98.6,5.0,7,Honda,AmazeSX,1.252762968495368,10.308952660644293
Kolkata,Diesel,Manual,First,22.07,1199.0,73.9,5.0,9,Volkswagen,PoloDiesel,1.0260415958332743,10.440331738700673
Ahmedabad,Diesel,Manual,First,16.2,1493.0,110.0,5.0,12,Hyundai,VernaTransform,1.2383742310432684,11.156279092051912
Bangalore,Petrol,Manual,First,18.9,998.0,67.1,5.0,6,Maruti,WagonR,1.4929040961781488,11.03488966402723
Delhi,Petrol,Manual,First,15.26,1598.0,103.5,5.0,12,Volkswagen,PoloPetrol,0.9745596399981308,11.034905792929415
Pune,Diesel,Manual,Second,23.0,1396.0,90.0,5.0,11,Hyundai,i201.4,1.33500106673234,11.276671344505923
Mumbai,Petrol,Manual,First,18.5,1197.0,82.85,5.0,8,Hyundai,i20Asta,1.536867219599265,10.31493473232184
Pune,Petrol,Manual,First,19.83,1198.0,67.0,7.0,5,Datsun,GOPlus,1.3737155789130306,10.39973746484973
Kolkata,Diesel,Automatic,First,14.94,2967.0,241.4,5.0,12,Audi,A43.0,2.2823823856765264,10.308952660644293
Pune,Petrol,Manual,Second,17.0,1197.0,80.0,5.0,13,Hyundai,i202015-2017,0.9932517730102834,11.097410021008562
Coimbatore,Petrol,Manual,First,14.0,796.0,35.0,5.0,12,Maruti,Omni5,0.8796267475025636,11.449453042014655
Ahmedabad,Petrol,Manual,First,17.71,1197.0,78.9,5.0,8,Toyota,EtiosLiva,1.3609765531356006,10.87804719253426
Hyderabad,Diesel,Automatic,Second,14.74,2993.0,270.9,5.0,11,Jaguar,XF3.0,3.1780538303479458,11.26446410567173
Delhi,Diesel,Manual,Second,16.0,2179.0,140.0,7.0,10,Mahindra,XUV500W8,1.749199854809259,11.082142548877775
Kolkata,Diesel,Automatic,First,22.32,1582.0,126.32,5.0,8,Hyundai,Verna1.6,1.6582280766035324,10.596634733096073
Mumbai,Diesel,Automatic,First,11.36,2755.0,171.5,7.0,5,Toyota,InnovaCrysta,2.9575110607337933,10.308952660644293
Coimbatore,Petrol,Manual,First,15.1,1196.0,73.0,5.0,5,Maruti,Eeco5,1.3635373739972745,10.546735203808643
Bangalore,Petrol,Manual,First,25.4,624.0,37.5,4.0,8,Tata,NanoTwist,0.7654678421395714,10.146433731146518
Mumbai,Diesel,Automatic,First,22.69,1995.0,190.0,5.0,7,BMW,3Series,3.0325462466767075,10.934659335602204
Delhi,Petrol,Manual,First,13.5,1799.0,130.0,5.0,12,Honda,Civic2006-2010,1.208960345836975,11.17167382517569
Ahmedabad,Diesel,Manual,First,12.99,2494.0,100.6,7.0,8,Toyota,Innova2.5,2.4078456036515385,10.915088464214607
Bangalore,Diesel,Automatic,First,23.3,1984.0,150.0,5.0,8,Volvo,V40Cross,2.995732273553991,10.395130356885344
Coimbatore,Petrol,Automatic,First,19.15,1198.0,75.94,5.0,6,Nissan,MicraXV,1.8794650496471605,10.593680373269637
Mumbai,Petrol,Automatic,First,10.8,2497.0,215.0,5.0,13,BMW,5Series,1.9459101490553132,11.759785542901755
Mumbai,Diesel,Manual,First,24.3,1248.0,88.5,5.0,6,Maruti,VitaraBrezza,2.0149030205422647,10.915088464214607
Mumbai,Petrol,Manual,Second,17.0,1086.0,62.1,5.0,17,Hyundai,SantroXing,-0.16251892949777494,11.532728092266408
Pune,Diesel,Automatic,Second,15.0,2143.0,107.3,5.0,8,Mercedes-Benz,BClass,2.8183982582710754,10.892154758385857
Kolkata,Diesel,Manual,First,22.0,1582.0,126.2,5.0,4,Hyundai,VernaCRDi,2.3933394562625097,9.235032984566555
Pune,Petrol,Manual,First,18.9,998.0,67.1,5.0,11,Maruti,WagonR,0.8960880245566357,10.689077168485634
Coimbatore,Petrol,Automatic,First,21.9,624.0,37.48,4.0,5,Tata,NanoXTA,1.172482137234565,10.394640940504598
Kolkata,Diesel,Manual,First,12.05,2179.0,120.0,8.0,8,Mahindra,ScorpioVLX,2.0476928433652555,10.645424897265505
Kolkata,Petrol,Automatic,First,11.7,1796.0,178.0,5.0,13,Mercedes-Benz,NewC-Class,2.2353763433005955,10.252452853404808
Pune,CNG,Manual,First,37.24,998.0,58.16,5.0,9,Maruti,WagonR,1.1786549963416462,11.406453220459712
Bangalore,Petrol,Manual,Second,10.8,2354.0,152.0,5.0,15,Honda,CR-V2.4,1.6582280766035324,10.772686676876432
Pune,Diesel,Automatic,First,21.21,1498.0,103.2,5.0,7,Volkswagen,Vento1.5,1.9810014688665833,10.915088464214607
Kochi,Petrol,Manual,First,20.73,1373.0,91.1,5.0,5,Maruti,CiazVXi,2.010894999144726,10.698401298243683
Jaipur,Diesel,Automatic,First,16.0,2179.0,140.0,7.0,6,Mahindra,XUV500AT,2.583997552432231,10.896739325546411
Coimbatore,Petrol,Manual,First,21.1,1197.0,85.8,5.0,6,Maruti,RitzVXI,1.7595805708638197,10.316656245029325
Hyderabad,Petrol,Manual,First,24.07,998.0,67.1,5.0,8,Maruti,AltoK10,0.9555114450274363,11.390757830996021
Kolkata,Petrol,Automatic,First,19.0,2996.0,362.07,2.0,5,Mercedes-Benz,SLC43,3.9889840465642745,9.500918247539989
Kochi,Petrol,Automatic,First,17.0,1591.0,121.3,5.0,3,Hyundai,VernaVTVT,2.4423470353692043,9.445017159104065
Chennai,Petrol,Manual,Second,19.7,796.0,46.3,5.0,12,Maruti,AltoLXi,0.47000362924573563,11.455137441202835
Coimbatore,Diesel,Automatic,First,20.58,1995.0,143.0,5.0,7,BMW,1Series,2.8460714989995846,10.36788172817358
Mumbai,Petrol,Automatic,First,19.0,1199.0,88.7,5.0,7,Honda,Jazz1.2,1.791759469228055,9.392661928770137
Delhi,Petrol,Manual,First,13.5,1799.0,130.0,5.0,10,Honda,Civic2006-2010,1.3737155789130306,11.391638798762143
Kochi,Diesel,Automatic,First,19.27,2143.0,170.0,5.0,8,Mercedes-Benz,NewC-Class,2.8875901149342877,10.713639688348616
Kolkata,Diesel,Manual,First,25.8,1498.0,98.6,5.0,8,Honda,AmazeSX,1.308332819650179,10.715395068816916
Kochi,Petrol,Manual,First,22.0,1197.0,81.8,5.0,6,Maruti,SwiftVVT,1.691939133945844,10.440097875275846
Kochi,Petrol,Manual,Third,17.0,1086.0,62.1,5.0,14,Hyundai,SantroXing,0.5128236264286637,11.299224689982603
Coimbatore,Diesel,Manual,First,11.5,2982.0,171.0,7.0,10,Toyota,Fortuner3.0,2.6019486702196644,11.421193874370635
Pune,Petrol,Manual,First,18.6,1199.0,76.8,5.0,8,Chevrolet,BeatLT,1.0473189942805592,10.566175525611365
Chennai,Diesel,Manual,First,21.14,1498.0,103.52,5.0,9,Skoda,Rapid1.5,1.55814461804655,11.326595886778735
Kochi,Petrol,Manual,First,20.73,1373.0,91.1,5.0,4,Maruti,Ciaz1.4,2.2925347571405443,10.628206071933391
Mumbai,Petrol,Automatic,First,11.05,2894.0,444.0,4.0,9,Audi,RS5Coupe,3.6109179126442243,10.043249494911286
Mumbai,Diesel,Automatic,First,21.76,1995.0,190.0,5.0,8,BMW,3Series,3.2771447329921766,10.778956289890028
Coimbatore,Diesel,Automatic,First,17.11,1968.0,174.33,5.0,7,Audi,A42.0,3.1493113614822916,10.783404714295925
Chennai,Diesel,Manual,First,22.9,1248.0,74.0,5.0,6,Maruti,SwiftVDI,1.8325814637483102,10.46310334047155
Kolkata,Petrol,Automatic,First,7.81,5461.0,362.9,5.0,12,Mercedes-Benz,SClass,3.4011973816621555,10.470986472491525
Coimbatore,Diesel,Automatic,First,21.66,1498.0,103.52,5.0,6,Skoda,Rapid1.5,2.288486168614544,10.908155395027697
Pune,Diesel,Automatic,First,17.2,1968.0,138.1,5.0,10,Skoda,SuperbElegance,2.1400661634962708,11.827714306760283
Kochi,Petrol,Manual,First,21.1,814.0,55.2,5.0,3,Hyundai,EONMagna,1.4422019930581866,9.569552095566886
Jaipur,Diesel,Manual,First,22.07,1199.0,73.9,5.0,10,Volkswagen,PoloDiesel,1.252762968495368,11.091849133347846
Kolkata,Petrol,Manual,First,20.63,1198.0,67.06,5.0,6,Datsun,GONXT,0.9162907318741551,8.699514748210191
Kolkata,Petrol,Manual,First,19.4,1198.0,86.8,5.0,9,Honda,BrioS,0.8712933659434193,10.412711894935144
Delhi,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,9,Mercedes-Benz,BClass,2.4203681286504293,10.275051108968611
Kochi,Diesel,Manual,First,26.0,1498.0,98.6,5.0,7,Honda,Cityi,1.9615022438151495,10.66501741845733
Ahmedabad,Diesel,Manual,First,12.99,2494.0,100.6,7.0,6,Toyota,Innova2.5,2.388762789235098,11.407564949312402
Ahmedabad,Petrol,Manual,First,20.4,1197.0,81.8,5.0,5,Maruti,SwiftVXI,1.824549292051046,10.08601742096504
Mumbai,Diesel,Manual,First,15.1,2179.0,140.0,7.0,10,Mahindra,XUV500W8,2.066862759472976,10.397939862184174
Kochi,Diesel,Manual,First,22.7,1498.0,89.84,5.0,8,Ford,Ecosport1.5,1.4861396960896067,11.90427812595702
Mumbai,Diesel,Manual,First,13.0,2982.0,168.5,7.0,10,Toyota,Fortuner4x2,2.6026896854443837,11.788775311915373
Chennai,Diesel,Automatic,First,21.5,1498.0,108.5,5.0,9,Volkswagen,Vento1.5,1.8325814637483102,11.082142548877775
Jaipur,Diesel,Manual,Second,20.0,1399.0,68.0,5.0,12,Ford,FigoDiesel,0.7419373447293773,11.099271922956497
Mumbai,Diesel,Automatic,First,15.3,2993.0,258.0,5.0,7,BMW,X5xDrive,3.8066624897703196,10.621327345686446
Coimbatore,Diesel,Automatic,First,19.27,2143.0,167.62,5.0,5,Mercedes-Benz,NewC-Class,3.51631018876266,10.066881099444563
Bangalore,Petrol,Manual,Second,19.4,1198.0,86.8,5.0,10,Honda,BrioV,1.2947271675944,10.714417768752456
Delhi,Petrol,Manual,First,20.36,1197.0,78.9,5.0,9,Hyundai,i10Magna,1.0116009116784799,11.002099841204238
Bangalore,Diesel,Automatic,First,17.9,2143.0,170.0,5.0,6,Mercedes-Benz,GLC220,3.7495040759303713,10.701310014034204
Kolkata,Petrol,Manual,First,18.9,1197.0,81.86,5.0,3,Hyundai,Grandi10,1.8718021769015913,6.907755278982137
Mumbai,Diesel,Automatic,Second,17.68,1968.0,174.33,5.0,10,Audi,A62011-2015,2.9444389791664403,11.042921835724492
Mumbai,Petrol,Automatic,Second,14.4,1598.0,103.6,5.0,9,Volkswagen,VentoPetrol,1.4929040961781488,9.95227771670556
Jaipur,Diesel,Automatic,Second,16.6,1998.0,112.0,5.0,5,Mini,CountrymanCooper,3.1354942159291497,9.050758302151717
Bangalore,Diesel,Manual,First,22.54,1396.0,88.73,5.0,8,Hyundai,i20Asta,2.122261538862764,10.275051108968611
Mumbai,Diesel,Automatic,First,17.68,1968.0,174.33,5.0,8,Audi,A62011-2015,3.133317936506554,10.596634733096073
Jaipur,Diesel,Manual,First,25.44,936.0,57.6,5.0,10,Chevrolet,BeatDiesel,0.4054651081081644,11.385092093460344
Kochi,Petrol,Automatic,First,13.7,1798.0,157.75,5.0,10,Skoda,SuperbElegance,1.9300710850255671,10.888128282631826
Chennai,Diesel,Manual,Second,17.8,1399.0,68.0,5.0,16,Ford,Fiesta1.4,0.371563556432483,12.283033686666302
Hyderabad,Diesel,Automatic,First,22.48,1995.0,190.0,5.0,8,BMW,5Series,3.5115454388310208,10.839580911706463
Jaipur,Petrol,Manual,First,12.9,1598.0,102.5,5.0,15,Chevrolet,OptraMagnum,0.22314355131420976,11.682668239557323
Hyderabad,Diesel,Manual,First,22.07,1199.0,73.9,5.0,10,Volkswagen,PoloDiesel,1.4350845252893227,11.05089000537367
Mumbai,Diesel,Manual,First,19.98,1461.0,108.5,8.0,7,Renault,Lodgy110PS,1.9095425048844386,10.126631103850338
Bangalore,Diesel,Automatic,First,13.0,2143.0,201.1,5.0,8,Mercedes-Benz,E-ClassE250,3.4657359027997265,10.528944584126123
Kochi,Petrol,Manual,First,21.4,1197.0,83.1,5.0,5,Maruti,BalenoAlpha,2.0149030205422647,10.117509629400777
Delhi,Diesel,Manual,First,22.32,1582.0,126.32,5.0,10,Hyundai,Verna1.6,1.5260563034950492,11.03488966402723
Kochi,Petrol,Manual,First,19.81,1086.0,68.05,5.0,5,Hyundai,i10Magna,1.3962446919730587,10.865516176084137
Kochi,Diesel,Manual,First,15.4,1997.0,120.0,7.0,6,Mahindra,Scorpio1.99,2.333114298028869,10.946217083956563
Coimbatore,Diesel,Automatic,First,12.7,2179.0,187.7,5.0,4,Land Rover,RoverRange,4.0210567664522685,10.493798805759472
Chennai,Diesel,Manual,First,20.0,1399.0,68.0,5.0,12,Ford,FigoDiesel,0.9555114450274363,11.695247021764184
Mumbai,Diesel,Manual,First,25.47,1248.0,88.5,7.0,6,Maruti,ErtigaZDI,2.1400661634962708,10.404262840448617
Ahmedabad,Petrol,Manual,First,18.23651296194153,1497.0,118.0,5.0,15,Honda,City1.5,1.0818051703517284,11.002199836204571
Kolkata,Diesel,Manual,First,25.8,1498.0,98.6,5.0,8,Honda,AmazeS,1.252762968495368,10.858998997563564
Jaipur,Petrol,Manual,First,20.36,1197.0,78.9,5.0,7,Hyundai,i10Magna,1.2669476034873244,10.682147070420287
Kolkata,Diesel,Manual,First,25.8,1498.0,98.6,5.0,9,Honda,AmazeS,1.1786549963416462,10.819778284410283
Hyderabad,Diesel,Manual,First,17.5,1896.0,106.0,5.0,14,Skoda,LauraAmbiente,1.5040773967762742,11.635143097694478
Delhi,Diesel,Manual,First,19.87,1461.0,83.8,5.0,8,Renault,Duster85PS,1.6770965609079151,11.407564949312402
Chennai,Diesel,Manual,Second,17.45,1493.0,100.0,7.0,5,Mahindra,NuvoSportN6,1.8718021769015913,10.275051108968611
Mumbai,Diesel,Manual,First,24.3,1248.0,88.5,5.0,6,Maruti,VitaraBrezza,2.1972245773362196,9.903487552536127
Kochi,Petrol,Manual,First,18.6,1197.0,81.83,5.0,6,Hyundai,i20Asta,1.791759469228055,11.018825845119824
Jaipur,Petrol,Manual,First,14.7,1390.0,85.0,5.0,13,Skoda,Fabia1.4,1.0116009116784799,11.378925391103238
Pune,Petrol,Manual,First,15.64,1193.0,64.1,5.0,12,Tata,IndigoeCS,0.4054651081081644,11.16336798880036
Delhi,Diesel,Automatic,First,15.73,1968.0,174.33,5.0,7,Audi,Q32012-2015,2.990719731730447,11.068246443685663
Mumbai,Petrol,Automatic,First,14.7,1798.0,177.5,5.0,8,Skoda,OctaviaElegance,2.302585092994046,11.238488619268468
Delhi,Diesel,Manual,First,23.59,1364.0,67.06,5.0,8,Toyota,EtiosLiva,1.0986122886681098,11.55214617812351
Kolkata,Petrol,Manual,First,16.1,1616.303290019353,112.3128981777716,5.0,12,Maruti,Swift1.3,0.7466879474879751,10.645448706505872
Kochi,Petrol,Automatic,First,14.8,1595.0,120.7,5.0,8,Mercedes-Benz,BClass,2.481567748522486,10.525272986610377
Kolkata,Diesel,Manual,First,27.4,1498.0,98.6,5.0,9,Honda,AmazeS,1.1786549963416462,10.714417768752456
